student_id,department,year_of_study,gpa,midterm_score,attendance_percentage,library_checkout_count,canteen_peak_visit_time,campus_wifi_hours_night,assignment_submit_delay_hours,lab_attendance_8am
STU2026001,Computer Science,1,8.69,91.3,65.5,20,12:30-13:30,1.5,12.3,73.0
STU2026002,Computer Science,1,6.44,67.9,76.7,9,12:30-13:30,0.7,13.4,75.8
STU2026003,Mechanical Eng,1,8.76,84.1,61.9,5,13:30-14:30,3.5,-43.1,78.1
STU2026004,Computer Science,3,9.14,63.8,81.0,27,14:30-15:30,6.1,-43.8,55.5
STU2026005,Mechanical Eng,3,7.98,77.5,85.3,9,11:30-12:30,0.8,-2.1,76.6
STU2026006,Civil Eng,3,7.45,78.1,90.9,23,13:30-14:30,1.6,-13.7,80.3
STU2026007,Information Tech,2,7.8,45.2,65.5,22,12:30-13:30,3.7,23.1,39.4
STU2026008,Computer Science,2,9.03,97.2,89.6,37,12:30-13:30,3.3,7.9,71.9
STU2026009,Civil Eng,4,9.3,97.3,82.6,25,12:30-13:30,1.5,19.0,74.0
STU2026010,Information Tech,4,7.06,75.5,97.9,6,13:30-14:30,1.5,-14.7,84.3
STU2026011,Civil Eng,1,7.15,44.6,80.6,23,14:30-15:30,3.8,-9.8,38.8
STU2026012,Information Tech,3,8.8,81.3,69.6,38,13:30-14:30,2.6,-34.0,74.6
STU2026013,Information Tech,2,7.68,50.3,59.6,26,11:30-12:30,4.9,-7.6,59.5
STU2026014,Information Tech,1,8.08,89.0,76.0,9,13:30-14:30,1.3,-44.9,80.5
STU2026015,Information Tech,1,5.87,64.0,75.9,17,11:30-12:30,1.0,2.2,92.1
STU2026016,Electronics & Comm,3,7.77,47.5,81.1,24,12:30-13:30,7.3,7.8,62.5
STU2026017,Mechanical Eng,4,9.37,87.1,74.4,20,12:30-13:30,2.2,4.0,71.9
STU2026018,Computer Science,1,6.48,43.0,93.9,8,12:30-13:30,6.5,17.1,32.5
STU2026019,Information Tech,4,6.54,69.0,75.3,15,12:30-13:30,3.3,14.1,72.7
STU2026020,Computer Science,1,5.76,36.8,86.3,6,12:30-13:30,6.1,12.3,33.8
STU2026021,Mechanical Eng,4,6.57,39.2,94.7,19,11:30-12:30,3.6,-3.7,60.1
STU2026022,Computer Science,2,6.22,56.8,75.9,27,12:30-13:30,2.0,5.9,81.6
STU2026023,Civil Eng,3,7.32,43.8,96.2,11,11:30-12:30,7.5,-36.5,49.5
STU2026024,Computer Science,1,8.72,55.0,57.5,18,11:30-12:30,4.6,-43.8,47.6
STU2026025,Electronics & Comm,1,8.06,87.3,84.0,21,12:30-13:30,2.1,-3.4,73.5
STU2026026,Computer Science,4,8.33,86.7,79.3,10,12:30-13:30,2.7,11.2,77.6
STU2026027,Mechanical Eng,4,6.86,77.2,87.3,4,14:30-15:30,1.0,-19.5,83.3
STU2026028,Information Tech,3,6.07,58.8,70.0,32,12:30-13:30,1.0,23.8,77.1
STU2026029,Information Tech,1,8.37,51.3,78.8,5,12:30-13:30,7.0,25.4,33.6
STU2026030,Electronics & Comm,3,6.71,73.6,64.1,10,12:30-13:30,2.9,32.1,89.9
STU2026031,Computer Science,1,8.23,77.6,90.7,7,14:30-15:30,0.8,-8.7,79.7
STU2026032,Information Tech,4,7.91,57.9,59.8,13,11:30-12:30,7.1,-17.1,54.2
STU2026033,Electronics & Comm,4,6.05,35.0,68.3,8,13:30-14:30,6.8,-11.9,57.9
STU2026034,Computer Science,3,8.85,84.0,93.0,42,14:30-15:30,3.3,-39.4,88.0
STU2026035,Electronics & Comm,4,5.61,62.0,86.7,9,13:30-14:30,2.8,-33.9,97.0
STU2026036,Computer Science,4,9.25,92.6,91.9,9,12:30-13:30,2.1,4.1,93.7
STU2026037,Electronics & Comm,4,6.91,41.0,92.2,19,12:30-13:30,7.3,8.6,39.8
STU2026038,Computer Science,1,9.27,72.5,66.2,13,12:30-13:30,4.6,24.9,64.4
STU2026039,Mechanical Eng,4,8.11,78.3,77.0,2,13:30-14:30,3.2,-20.4,86.7
STU2026040,Information Tech,2,7.07,47.5,58.0,38,13:30-14:30,5.1,-0.3,41.6
STU2026041,Information Tech,3,8.37,61.6,69.0,27,12:30-13:30,5.4,22.8,49.4
STU2026042,Electronics & Comm,3,7.25,77.8,90.9,12,12:30-13:30,2.6,14.1,76.1
STU2026043,Civil Eng,2,7.7,48.3,89.1,23,12:30-13:30,7.2,21.0,55.8
STU2026044,Mechanical Eng,1,9.02,67.7,87.3,9,11:30-12:30,5.2,4.1,37.9
STU2026045,Information Tech,1,7.46,50.1,93.1,6,12:30-13:30,4.5,21.9,55.1
STU2026046,Computer Science,1,8.85,62.1,64.4,5,12:30-13:30,6.1,13.7,54.4
STU2026047,Civil Eng,3,9.59,68.5,93.3,19,13:30-14:30,4.8,-24.4,55.2
STU2026048,Electronics & Comm,4,7.44,44.0,87.3,9,12:30-13:30,6.4,6.3,39.7
STU2026049,Computer Science,3,6.51,44.6,69.4,19,12:30-13:30,6.8,24.0,32.8
STU2026050,Computer Science,4,7.25,72.4,78.3,20,14:30-15:30,3.4,2.1,76.0
STU2026051,Computer Science,4,7.55,82.4,95.5,19,13:30-14:30,2.6,-8.4,81.3
STU2026052,Information Tech,2,7.6,47.2,66.7,38,13:30-14:30,3.9,-39.3,43.6
STU2026053,Civil Eng,2,9.72,67.4,78.0,15,11:30-12:30,6.8,-40.8,50.7
STU2026054,Civil Eng,2,5.72,62.5,71.3,15,12:30-13:30,2.0,5.3,79.5
STU2026055,Computer Science,4,5.58,35.0,78.2,22,13:30-14:30,7.5,-45.9,42.2
STU2026056,Computer Science,2,6.36,67.4,55.9,21,12:30-13:30,1.6,14.1,73.7
STU2026057,Mechanical Eng,3,6.22,35.0,81.1,5,14:30-15:30,5.7,-17.3,34.0
STU2026058,Mechanical Eng,4,7.21,75.1,85.7,11,11:30-12:30,1.0,-2.9,90.0
STU2026059,Information Tech,1,8.92,92.3,79.3,22,11:30-12:30,0.8,-29.9,85.4
STU2026060,Civil Eng,4,5.95,35.0,96.3,25,12:30-13:30,4.9,16.4,59.0
STU2026061,Mechanical Eng,4,7.5,52.6,90.5,10,14:30-15:30,4.6,-1.3,41.3
STU2026062,Electronics & Comm,4,7.95,77.8,83.7,13,12:30-13:30,2.9,27.7,84.3
STU2026063,Mechanical Eng,3,9.29,100.0,85.2,25,11:30-12:30,2.4,-26.5,70.3
STU2026064,Information Tech,2,8.47,64.1,82.8,37,12:30-13:30,3.9,5.0,57.8
STU2026065,Information Tech,3,7.54,73.9,77.8,23,13:30-14:30,3.5,-31.7,91.6
STU2026066,Electronics & Comm,1,8.6,56.3,68.6,25,11:30-12:30,5.7,-22.3,63.3
STU2026067,Information Tech,3,9.72,94.8,90.8,19,13:30-14:30,2.6,-33.5,80.5
STU2026068,Computer Science,3,8.5,52.7,60.4,30,12:30-13:30,6.6,14.6,47.2
STU2026069,Mechanical Eng,2,9.65,75.7,65.9,20,12:30-13:30,6.5,20.8,34.0
STU2026070,Computer Science,2,6.14,56.9,79.2,34,13:30-14:30,2.6,-16.4,98.8
STU2026071,Information Tech,2,8.84,60.2,71.4,33,12:30-13:30,6.9,20.5,40.4
STU2026072,Information Tech,1,9.57,91.1,63.9,4,11:30-12:30,2.0,-39.7,89.2
